Name,Location,Status,Tech Stack,Website,Phone,Score,Rating,Reviews,Meta Title,Maps URL
LUX MedSpa Brickell,Miami FL,HOT_LINKTREE,Linktree,https://www.luxmedspabrickell.com/,(305) 988-9388,437.4,5,2187,"Lux MedSpa Brickell, Miami | Best Facials & Massages",https://maps.google.com/?cid=12593821693512984242&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Dolce Medical Spa - Miami,Miami FL,CUSTOM_OR_UNKNOWN,Custom / Unknown,https://mia.dolcemedicalspas.com/facial-promo/,(786) 305-8898,212.4,5,1062,Dolce | Book Appointment,https://maps.google.com/?cid=2903115665534781607&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Skin Envy Austin- South,Austin TX,CUSTOM_OR_UNKNOWN,Shopify,http://skinenvyaustin.com/,(512) 443-3000,143.8,4.8,799,"Austin TX, Medical Spa, CoolSculpting, Fraxel Laser,UlraShape, BOTOX, Cosmetic surgery, Laser Hair Removal",https://maps.google.com/?cid=10043962782601125075&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Viva Day Spa + Med Spa | Domain Northside,Austin TX,HOT_WORDPRESS,WordPress,http://www.vivadayspa.com/,(512) 361-2558,137.2,4.7,807,"Viva Day Spa + Med Spa | Massage, Facials, Spa Packages & More",https://maps.google.com/?cid=12701978682932507204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Wild and Beautiful Natural Aesthetics,Austin TX,HOT_SQUARESPACE,Squarespace,https://www.wildandbeautifulaustin.com/?utm_source=GMBmain&utm_medium=organic,(512) 579-0899,102.6,5,513,Wild & Beautiful | Natural Aesthetics in Austin,https://maps.google.com/?cid=10492795899153508820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Miami Surgical MedSpa,Miami FL,CUSTOM_OR_UNKNOWN,Custom / Unknown,https://rymaps.xyz/business/miami-surgical-medspa-37fhvr,(305) 515-5009,98.2,5,491,Business Directory - Find Great Local Businesses,https://maps.google.com/?cid=10661611655552396795&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
NuYou Medical Aesthetics,Miami FL,HOT_SQUARESPACE,Squarespace,http://www.lovethenuyou.com/,(305) 204-0659,88.4,5,442,"Miami's top-rated expert in Botox, Sculptra, weight loss & skin",https://maps.google.com/?cid=14537337872203551502&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Maui MedSpa,Austin TX,HOT_SQUARESPACE,Squarespace,http://www.mauimedspa.com/,(737) 240-2212,81.9,4.8,455,"Full-Service Medical Spa in Austin, TX | Maui MedSpa",https://maps.google.com/?cid=13200991248881947372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Viva Day Spa + Med Spa | Lamar,Austin TX,HOT_WORDPRESS,WordPress,http://www.vivadayspa.com/?utm_source=GMBlisting&utm_medium=organic,(512) 361-2047,81.6,4.7,480,"Viva Day Spa + Med Spa | Massage, Facials, Spa Packages & More",https://maps.google.com/?cid=3222465471613005126&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Med Aesthetics Miami,Miami FL,HOT_WORDPRESS,WordPress,https://medaestheticsmiami.com/?utm_source=google&utm_medium=organic&utm_content=gables&utm_campaign=gmb,(305) 356-7402,78.1,4.8,434,"Med Spa Miami | Laser Hair Removal, toxin & Aesthetic Treatments | Med Aesthetics Miami",https://maps.google.com/?cid=6549273058653252923&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Brickell Cosmetic Center-Aesthetics & Dermatology,Miami FL,HOT_WORDPRESS,WordPress,https://brickellcosmetic.com/,(305) 456-6001,66.7,4.6,417,"Top Cosmetic Center in Miami, FL | Brickell Cosmetic Center",https://maps.google.com/?cid=15002739178716080008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Arviv Medical Aesthetics Miami,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://arvivaesthetics.com/miami/,(813) 855-0111,64.4,4.7,379,Error,https://maps.google.com/?cid=12076961698418500600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
It's A Secret Med Spa - Austin,Austin TX,CUSTOM_OR_UNKNOWN,N/A,https://secretmedspa.com/austin-tx/,(512) 256-8608,61.6,4.8,342,Error,https://maps.google.com/?cid=5380408562995121971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
4Beauty Medspa,Miami FL,HOT_WORDPRESS,WordPress,https://4beautymedspa.com/,(786) 496-9444,57.2,4.9,301,"Top Med Spa in Miami, FL | 4Beauty Med Spa",https://maps.google.com/?cid=9427446705009676401&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Aviva Medical Spa,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://avivamedicalspa.com/,(786) 812-8622,55.4,4.7,326,Error,https://maps.google.com/?cid=8934541929947759210&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Refine Aesthetics,Austin TX,HOT_WORDPRESS,WordPress,https://refineaesthetics.com/,(512) 572-1240,55.2,5,276,"Med Spa in Austin, TX | Refine Aesthetics",https://maps.google.com/?cid=5286605940053276827&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
NakedMD Med Spa Austin,Austin TX,CUSTOM_OR_UNKNOWN,Shopify,https://www.nakedmd.com/,(737) 359-8186,54.7,4.9,288,Medical Spa | Filler & TOX Services | NakedMD,https://maps.google.com/?cid=654054521862903779&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
VIIV WELLNESS HAUS,Miami FL,HOT_WORDPRESS,WordPress,http://viivwellnesshaus.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(786) 550-6249,52.6,5,263,"Best Medical Spa In Miami Beach, FL | VIIV Wellness Haus",https://maps.google.com/?cid=5758539259632452142&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
VIO Med Spa,Austin TX,CUSTOM_OR_UNKNOWN,Custom / Unknown,https://www.viomedspa.com/locations/mueller,(512) 900-1051,45.0,4.8,250,"Austin Med Spa | Botox®, Facials, CoolSculpting & More",https://maps.google.com/?cid=18269072566686024569&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Viva Day Spa + Med Spa | 35th,Austin TX,HOT_WORDPRESS,WordPress,http://www.vivadayspa.com/?utm_source=GMBlisting&utm_medium=organic,(512) 361-1786,44.6,4.8,248,"Viva Day Spa + Med Spa | Massage, Facials, Spa Packages & More",https://maps.google.com/?cid=17590680353403867136&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Deluxe Med Spa Beauty,Miami FL,HOT_WORDPRESS,WordPress,https://deluxemedspabeauty.com/,(786) 901-0611,44.3,4.9,233,"Med Spa Miami | Fillers, Laser Hair Removal & IV Therapy",https://maps.google.com/?cid=544751680768816914&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
No Filter Medical Spa,Miami FL,CUSTOM_OR_UNKNOWN,N/A,https://nofiltermedspa.com/,(305) 619-2651,38.2,4.9,201,Error,https://maps.google.com/?cid=13859591413779846069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Rejuvenate Austin,Austin TX,HOT_WORDPRESS,WordPress,https://www.rejuvenateaustin.com/?utm_source=GBP,(512) 923-1071,37.3,4.8,207,"Rejuvenate Austin - Boutique MedSpa located in Austin, Texas",https://maps.google.com/?cid=1598205372115537563&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Austin Med Spa,Austin TX,HOT_WIX,Wix,http://austinmedspa.com/,(512) 479-9997,37.2,4.9,196,"Austin Med Spa | Botox, Fillers & Laser Skin Treatments in Austin TX",https://maps.google.com/?cid=13006934284341995193&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
SkinSpirit Austin,Austin TX,CUSTOM_OR_UNKNOWN,Custom / Unknown,https://www.skinspirit.com/locations/austin/?utm_source=citation&utm_medium=organic&utm_campaign=austin,(737) 255-8200,34.2,4.9,180,"Botox, Fillers & Facials in Austin | SkinSpirit",https://maps.google.com/?cid=17339419727378417426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
